Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/ADISA-Backpack-Office-College-Travel/dp/B09Y8FMDVB,N/A,₹499,4.1 out of 5 stars,192
https://www.amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384,N/A,"₹1,375",4.2 out of 5 stars,"2,265"
https://www.amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z,N/A,₹421,4.2 out of 5 stars,855
https://www.amazon.in/Wooum-Resisitance-Shoulder-Business-Messenger/dp/B0993Q72WD,N/A,₹328,4.0 out of 5 stars,695
https://www.amazon.in/PUMA-Laptop-Backpack-IND-Black-CASTLEROCK/dp/B08BV2S9K1,N/A,"₹1,149",4.1 out of 5 stars,74
https://www.amazon.in/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9,N/A,₹225,3.7 out of 5 stars,"3,142"
https://www.amazon.in/Storite-Leather-Laptop-Bag-inch/dp/B081GQJLD2,N/A,₹999,4.0 out of 5 stars,"1,614"
https://www.amazon.in/Business-Casual-Resistant-Laptop-Backpack/dp/B0862V2GKH,N/A,₹949,4.4 out of 5 stars,"1,351"
https://www.amazon.in/Gear-Expandable-RainCover-Grey-Black-TLPTURBO00401/dp/B097KDRZ67,N/A,"₹1,794",4.4 out of 5 stars,"1,013"
https://www.amazon.in/Wildcraft-Polyester-Black-Laptop-8903338054290/dp/B012D4QKHW,N/A,"₹1,549",4.3 out of 5 stars,667
https://www.amazon.in/FATMUG-Compartment-Shoulder-Training-Overnight/dp/B08PC3FZWV,N/A,"₹1,099",4.4 out of 5 stars,232
https://www.amazon.in/DZert-Polyester-Black-White-Laptop/dp/B07H193V57,N/A,₹339,3.8 out of 5 stars,"2,460"
https://www.amazon.in/Wesley-Waterproof-Backpack-College-Business/dp/B08B6F3X7V,N/A,₹499,4.2 out of 5 stars,761
https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ,N/A,₹699,3.9 out of 5 stars,332
https://www.amazon.in/Skybags-Cardiff-Polyester-Travel-DFCAR55RED/dp/B073JSGN6G,N/A,₹849,4.2 out of 5 stars,"9,653"
https://www.amazon.in/WALKENT-Flair-Expandable-Anti-Theft-Waterproof/dp/B09BVSNMS2,N/A,"₹2,590",4.1 out of 5 stars,68
https://www.amazon.in/GOCART-LOGO-Backpack-Briefcase-Convertible/dp/B0822H451W,N/A,"₹1,249",3.9 out of 5 stars,"1,439"
https://www.amazon.in/GreenLands-SG-Backpack-QUAD-L-Grey/dp/B08ML7RWG6,N/A,"₹1,742",3.8 out of 5 stars,96
https://www.amazon.in/Puma-Unisex-Adult-Backpack-Black-Camo-7804610/dp/B0B33SVKHK,N/A,"₹1,169",N/A,50+ bought in past month
https://www.amazon.in/Half-Moon-Waterproof-Rucksack-Compartment/dp/B085MF4HD3,N/A,₹849,3.8 out of 5 stars,465
https://www.amazon.in/Martucci-Waterproof-Backpack-College-Business/dp/B0BRJRVH6D,N/A,₹809,3.6 out of 5 stars,113
https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,N/A,₹370,3.9 out of 5 stars,"2,644"
https://www.amazon.in/Wooum-Resistance-Backpack-Students-Compartment/dp/B0B5LPVBHR,N/A,₹463,3.8 out of 5 stars,47
https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7DTWLF,N/A,"₹1,328",4.2 out of 5 stars,"1,406"
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7,N/A,₹249,4.1 out of 5 stars,"9,319"
https://www.amazon.in/Martucci-Laptop-Backpack-College-Reflective/dp/B0B7DT6HY3,N/A,₹746,4.0 out of 5 stars,"1,196"
https://www.amazon.in/F-Gear-Samurai-Black-Laptop-Backpack/dp/B071F2M8CW,N/A,"₹1,249",4.1 out of 5 stars,90
https://www.amazon.in/Tommy-Hilfiger-Nashville-Overnighter-Travel/dp/B0C3ZQBRT3,N/A,"₹3,499",5.0 out of 5 stars,1
https://www.amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ,N/A,"₹1,946",4.4 out of 5 stars,"3,425"
https://www.amazon.in/Genie-Clara-Backpack-Women-compartments/dp/B097JJGR1N,N/A,N/A,4.4 out of 5 stars,183
https://www.amazon.in/Wildcraft-Shutter-Bug-Camera-Backpack/dp/B07GVJ5LZB,N/A,"₹3,495",4.5 out of 5 stars,848
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0101/dp/B07G4D13LB,N/A,₹981,4.4 out of 5 stars,"2,696"
https://www.amazon.in/Caprio-Business-Laptop-Sleeve-Should/dp/B0983QT1TM,N/A,₹999,4.1 out of 5 stars,168
https://www.amazon.in/Wesley-Waterproof-Backpack-Business-Dimensions/dp/B0BMQ4D59H,N/A,₹499,4.2 out of 5 stars,45
